name,name2,gender,nation,birth,height,weight,event,nationplace,身高
马龙 ,Ma Long,男,中国,1988年10月20日,175cm,72kg,乒乓球,辽宁,175
拉尔斯-本德 ,Lars Bender,男,德国,1989年4月27日,184cm,77kg,男子足球,,184
木村纱织 ,Saori Kimura,女,日本,1986年8月19日,185厘米,65kg,排球,,185
吕小军 ,Lv Xiaojun,男,中国,1984年7月27日,172厘米,77kg,举重,湖北,172
米歇尔·普罗菲 ,Michelle Plouffe,女,加拿大,1992年9月15日,191厘米,82kg,篮球,,191
林希妤 ,Lin Xiyu,女,中国,1996年2月25日,,,高尔夫,广东,
米兰达·阿伊木 ,Miranda Ayim,女,加拿大,1988年5月6日,183厘米,78kg,篮球,,183
李昊桐 ,Li Haotong,男,中国,1995年8月3日,183厘米,75kg,高尔夫,湖南,183
毛艺 ,Mao Yi,女,中国,1999年9月,,,体操,辽宁,
李龙大 ,Lee Yong Dae,男,韩国,1981年3月8日,178厘米,65kg,羽毛球,,178
苗甜 ,Miao Tian,女,中国,,,,苗甜,北京,
李皓晴 ,Li Haoqing,女,中国香港,,,,乒乓球,,
马克·加索尔 ,Marc Gasol,男,西班牙,1985年1月29日,216cm,120kg,篮球,,216
马赛林霍•胡尔塔斯 ,Marcelinho Huertas,男,巴西,1983年5月25日,190厘米,85kg,篮球,,190
马晓旭 ,MA Xiaoxu,女,中国,1988年6月5日,,,足球,辽宁,
马英楠 ,Ma Ying Nan,女,中国,,,,柔道,辽宁,
马青 ,Ma Qing,女,中国,1992年8月24日,,,皮划艇静水,山东,
马剑飞 ,Ma Jianfei,男,中国,1984年7月29日,186厘米,77kg,击剑,广东,186
玛蒂娜·辛吉斯 ,Martina Hingis,女,瑞士,1980年9月30日,170cm,,网球,,170
马修·埃蒙斯 ,Matthew Emmons,男,美国,1981年4月5日,178厘米,80kg,射击,,178
马思莱尼科夫 ,Vladimir MASLENNIKOV,男,俄罗斯,1994年8月17日,168厘米,67kg,射击男子气步枪,,168
米尔扎 ,Sania Mirza,女,印度,1986年11月15日,173cm,57kg,网球,,173
内内•希拉里奥 ,Nene Hilario,男,巴西,1982年9月13日,211厘米,113kg,篮球,,211
马金尼奥斯 ,Marquinhos,男,巴西,1994年5月14日,183cm,80kg,男子足球,,183
马修·德拉夫多瓦 ,Matthew Dellavedova,男,澳大利亚,1990年9月8日,193厘米,86kg,篮球,,193
尼古拉斯·巴图姆 ,Nicolas Batum,男,法国,1988年12月14日,203厘米,90kg,篮球,,203
毛飞廉 ,Mao Feilian,男,中国,1993年,,,游泳,浙江,
马努·吉诺比利 ,Manu Ginobili,男,阿根廷,1977年7月28日,198厘米,93kg,篮球,,198
诺瓦克·德约科维奇 ,Novak Djokovic,男,塞尔维亚,1987年5月22日,187厘米,80kg,网球,,187
迈尔 ,Max Meyer,男,德国,1995年9月18日,173cm,69kg,男子足球,,173
马克·霍顿 ,Mark Houghton,男,澳大利亚,1997年,,,游泳,,
娜塔莉·阿乔恩瓦 ,Natalie Achonwa,女,加拿大,1992年11月22日,192厘米,83kg,篮球,,192
马欢欢 ,Ma Huanhuan,女,中国,1990年1月13日,178厘米,73kg,女子水球,广西,178
